scenario_id,K,B,lambda,rho,mu_vm,mu_container,stage_capacity_ratio,holding_vm,holding_container,blocking_cost,states,full_state_optimal_gain,jsq_uniform_tie_gain,jsq_uniform_tie_relative_gap,jsq_lowest_index_gain,jsq_lowest_index_relative_gap,rz_candidate_gain,rz_candidate_relative_gap,candidate_observation_gap_upper,candidate_observation_share_upper,uniform_rule_gap_lower,uniform_rule_share_lower,candidate_decomposition_error,rz_globally_certified,rz_global_bound_relative_gap,rz_strictly_randomized_observations,rz_decision_observations,rz_start_count,rz_successful_start_count,rz_best_gain_start_count,rz_distinct_final_gain_count,rz_final_gain_range,rz_best_start_name,rz_projected_gradient_residual,rz_gain_evaluation_error,rz_fast_generator_residual,rz_poisson_residual,rz_independent_generator_residual,rz_independent_poisson_gain_error,rz_independent_cost_decomposition_error,rz_reflection_gain_error,rz_all_runs_no_worse_than_starts,rz_polishing_run_count,dz_solved,dz_gain,dz_relative_gap,rz_improvement_over_dz,rvi_span_residual,bellman_residual,check_checked_uniformized_rows,check_minimum_transition_probability,check_maximum_row_sum_error,check_rvi_stationary_gain_error,check_stationary_generator_residual,check_stationary_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
K2_B1_lambda1_rho0p25_muvm2_muc1_hvm1_hc1_cb10,2,1,1.0,0.25,2.0,1.0,1.0,1.0,1.0,10.0,36,2.219855232884372,2.2198552328843726,0.0,2.219855232884372,0.0,2.219855232884372,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,5.773159728050814e-15,random_06,2.498001805406602e-16,2.220446049250313e-15,2.8449465006019636e-16,1.509903313490213e-14,2.0816681711721685e-16,3.108624468950438e-14,4.440892098500626e-16,1.3322676295501878e-15,True,0,False,,,,8.899547765395255e-12,7.71832597834532e-12,45,0.0,0.0,1.0382361637084614e-11,7.112366251504909e-17,1.2878587085651816e-14,2.220446049250313e-16,3.3306690738754696e-16,4.440892098500626e-16
K2_B1_lambda2_rho0p5_muvm2_muc1_hvm1_hc1_cb10,2,1,2.0,0.5,2.0,1.0,1.0,1.0,1.0,10.0,36,7.140765227259252,7.1407652272592514,0.0,7.140765227259252,0.0,7.140765227259252,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0,9,22,22,22,1,4.440892098500626e-15,lowest_index_jsq,0.0,8.881784197001252e-16,1.5959455978986625e-16,2.220446049250313e-14,8.326672684688674e-17,4.796163466380676e-14,8.881784197001252e-16,1.7763568394002505e-15,True,0,False,,,,9.457323812966933e-12,8.291700659412982e-12,45,0.0,0.0,2.793765219166744e-11,8.326672684688674e-17,4.796163466380676e-14,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16
K2_B1_lambda3_rho0p75_muvm2_muc1_hvm1_hc1_cb10,2,1,3.0,0.75,2.0,1.0,1.0,1.0,1.0,10.0,36,14.45153025652012,14.451530256520126,0.0,14.45153025652012,0.0,14.451530256520124,0.0,0.0,0.0,0.0,0.0,0.0,True,2.458365042136363e-16,3,9,22,22,22,1,1.2434497875801753e-14,random_08_reflected,1.1102230246251565e-16,7.105427357601002e-15,1.6653345369377348e-16,3.019806626980426e-14,2.498001805406602e-16,3.552713678800501e-14,1.7763568394002505e-15,5.329070518200751e-15,True,0,False,,,,9.141132295553689e-12,7.9818374132401e-12,45,0.0,1.1102230246251565e-16,4.1319836441289226e-11,1.5265566588595902e-16,4.796163466380676e-14,2.220446049250313e-16,2.220446049250313e-16,1.7763568394002505e-15
K2_B1_lambda4_rho1_muvm2_muc1_hvm1_hc1_cb10,2,1,4.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,36,23.051735956844635,23.051735956844627,0.0,23.051735956844635,0.0,23.05173595684463,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,1.0658141036401503e-14,always_vm2_when_both_feasible,7.077671781985373e-16,7.105427357601002e-15,1.734723475976807e-16,8.526512829121202e-14,3.191891195797325e-16,9.592326932761353e-14,0.0,7.105427357601002e-15,True,0,False,,,,8.906653192752856e-12,7.72626407297139e-12,45,0.0,1.1102230246251565e-16,5.0739856760628754e-11,1.457167719820518e-16,3.907985046680551e-14,4.440892098500626e-16,4.440892098500626e-16,0.0
K2_B1_lambda6_rho1p5_muvm2_muc1_hvm1_hc1_cb10,2,1,6.0,1.5,2.0,1.0,1.0,1.0,1.0,10.0,36,41.80487139575042,41.804871395750425,0.0,41.80487139575042,0.0,41.80487139575042,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,2.842170943040401e-14,always_vm1_when_both_feasible,3.3306690738754696e-16,1.4210854715202004e-14,1.249000902703301e-16,9.237055564881302e-14,1.1102230246251565e-16,4.973799150320701e-14,0.0,1.4210854715202004e-14,True,0,False,,,,8.881784197001252e-12,7.700506898800086e-12,45,0.0,0.0,6.567546506630606e-11,1.3877787807814457e-16,5.684341886080802e-14,4.440892098500626e-16,0.0,7.105427357601002e-15
K2_B1_lambda1_rho0p25_muvm4_muc1_hvm1_hc1_cb10,2,1,1.0,0.25,4.0,1.0,2.0,1.0,1.0,10.0,36,1.5134932991037584,1.513493299103757,0.0,1.5134932991037584,0.0,1.513493299103758,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,4.218847493575595e-15,random_03_reflected,3.3306690738754696e-16,2.4424906541753444e-15,2.5326962749261384e-16,1.9539925233402755e-14,1.1449174941446927e-16,1.199040866595169e-14,0.0,3.774758283725532e-15,True,0,False,,,,9.166001291305292e-12,8.385042660208342e-12,45,0.0,2.220446049250313e-16,1.4532819392343299e-11,1.199127602768968e-16,1.4210854715202004e-14,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16
K2_B1_lambda2_rho0p5_muvm4_muc1_hvm1_hc1_cb10,2,1,2.0,0.5,4.0,1.0,2.0,1.0,1.0,10.0,36,4.717986764831619,4.717986764831617,0.0,4.717986764831619,0.0,4.717986764831617,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,7.993605777301127e-15,uniform_tie_jsq,4.440892098500626e-16,2.6645352591003757e-15,3.434752482434078e-16,3.2862601528904634e-14,8.673617379884035e-17,2.930988785010413e-14,8.881784197001252e-16,0.0,True,0,False,,,,9.315215265814913e-12,8.582412558411079e-12,45,0.0,1.1102230246251565e-16,4.005151765795745e-11,9.367506770274758e-17,1.3322676295501878e-14,2.220446049250313e-16,4.440892098500626e-16,0.0
K2_B1_lambda3_rho0p75_muvm4_muc1_hvm1_hc1_cb10,2,1,3.0,0.75,4.0,1.0,2.0,1.0,1.0,10.0,36,10.506010258067093,10.506010258067091,0.0,10.506010258067093,0.0,10.506010258067091,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,8.881784197001252e-15,neutral_half,8.881784197001252e-16,1.7763568394002505e-15,1.1102230246251565e-16,4.263256414560601e-14,7.632783294297951e-17,3.552713678800501e-14,0.0,3.552713678800501e-15,True,0,False,,,,9.972467296393006e-12,9.124367927881849e-12,45,0.0,0.0,6.980549471791164e-11,1.1102230246251565e-16,3.552713678800501e-14,8.881784197001252e-16,0.0,1.7763568394002505e-15
K2_B1_lambda4_rho1_muvm4_muc1_hvm1_hc1_cb10,2,1,4.0,1.0,4.0,1.0,2.0,1.0,1.0,10.0,36,18.193042928302344,18.193042928302347,0.0,18.193042928302344,0.0,18.193042928302344,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,2,9,22,22,22,1,1.7763568394002505e-14,random_08_reflected,1.2212453270876722e-15,1.0658141036401503e-14,3.3306690738754696e-16,7.105427357601002e-14,1.5265566588595902e-16,5.3290705182007514e-14,0.0,7.105427357601002e-15,True,0,False,,,,9.976020010071807e-12,9.025447056387748e-12,45,0.0,0.0,9.029221814671473e-11,1.1102230246251565e-16,4.973799150320701e-14,4.440892098500626e-16,4.440892098500626e-16,3.552713678800501e-15
K2_B1_lambda6_rho1p5_muvm4_muc1_hvm1_hc1_cb10,2,1,6.0,1.5,4.0,1.0,2.0,1.0,1.0,10.0,36,36.16670059925246,36.16670059925245,0.0,36.16670059925246,0.0,36.16670059925246,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0,9,22,22,22,1,2.1316282072803006e-14,lowest_index_jsq,0.0,7.105427357601002e-15,1.6653345369377348e-16,7.815970093361102e-14,1.6653345369377348e-16,7.815970093361102e-14,0.0,0.0,True,0,False,,,,9.038103598868474e-12,7.968736781549524e-12,45,0.0,1.1102230246251565e-16,1.0577849707260611e-10,1.6653345369377348e-16,7.815970093361102e-14,0.0,4.440892098500626e-16,0.0
