group,cases,weighted_ff_numerically_optimal,lexicographic_ff_numerically_optimal,weighted_ff_strictly_improves_lexicographic,weighted_ff_mean_gap_percent,weighted_ff_max_gap_percent,lexicographic_ff_mean_gap_percent,lexicographic_ff_max_gap_percent,uniform_jsq_mean_gap_percent,uniform_jsq_max_gap_percent,mean_improvement_over_lexicographic_percentage_points,max_improvement_over_lexicographic_percentage_points,best_at_jsq_endpoint,best_at_lexicographic_endpoint,best_at_critical_tie_weight,best_in_open_interval
eta=0.25,40,40,40,0,0.0,0.0,0.0,0.0,1.540721565038214,4.397994166840969,0.0,0.0,10,30,0,0
eta=0.5,40,34,34,1,0.00018684148212047184,0.0029032836365014427,0.00019628528336520373,0.0029032836365014427,1.4989889729762929,4.583979305848071,9.443801244731875e-06,0.000377752049789275,10,29,0,1
eta=1,40,25,17,24,0.008798103409800194,0.0796342391521514,0.012678371511856978,0.10319581881449155,0.7406318459450235,3.0434834888154927,0.0038802681020567832,0.03664703958185972,10,6,0,24
eta=2,40,25,10,30,0.03422003881692772,0.223043490473805,0.10400625922432719,0.3586684562080191,0.40244862968890194,1.349339475263235,0.06978622040739949,0.3073457055783226,10,0,0,30
