group,cases,weighted_ff_numerically_optimal,lexicographic_ff_numerically_optimal,weighted_ff_strictly_improves_lexicographic,weighted_ff_mean_gap_percent,weighted_ff_max_gap_percent,lexicographic_ff_mean_gap_percent,lexicographic_ff_max_gap_percent,uniform_jsq_mean_gap_percent,uniform_jsq_max_gap_percent,mean_improvement_over_lexicographic_percentage_points,max_improvement_over_lexicographic_percentage_points,best_at_jsq_endpoint,best_at_lexicographic_endpoint,best_at_critical_tie_weight,best_in_open_interval
B=1,40,40,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0
B=2,40,30,23,17,0.015216954879845854,0.223043490473805,0.037796551740341584,0.30973634121568255,1.316043610023746,3.88607427342059,0.02257959686049573,0.29913378451685135,0,23,0,17
B=3,40,28,20,18,0.014955756003230477,0.2196257741840916,0.04119322483515348,0.3586684562080191,1.4567717224059116,4.581824232758869,0.026237468831923006,0.3073457055783226,0,22,0,18
B=4,40,26,18,20,0.01303227282577205,0.18891537806579087,0.03789113944405432,0.34099829481373456,1.4099756812187743,4.583979305848071,0.024858866618282266,0.30263524930540725,0,20,0,20
B>=2,120,84,61,55,0.014401661236282793,0.223043490473805,0.038960305339849795,0.3586684562080191,1.394263671216144,4.583979305848071,0.024558644103567,0.3073457055783226,0,65,0,55
