group,cases,uniform_tie_numerically_optimal,uniform_tie_mean_gap_percent,uniform_tie_max_gap_percent,uniform_tie_max_scenario_id,uniform_tie_max_K,uniform_tie_max_eta,uniform_tie_max_rho
B=1,9,9,3.2999359160595874e-12,1.8758954848051787e-11,H03,2,1.0,0.6
B=2,9,0,2.0007353804932277,5.71669795726784,H16,4,0.5,0.75
