group,cases,weighted_ff_numerically_optimal,fixed_ff_numerically_optimal,weighted_ff_strictly_improves_fixed_ff,weighted_ff_mean_gap_percent,weighted_ff_max_gap_percent,fixed_ff_mean_gap_percent,fixed_ff_max_gap_percent,uniform_jsq_mean_gap_percent,uniform_jsq_max_gap_percent,mean_improvement_over_fixed_ff_percentage_points,max_improvement_over_fixed_ff_percentage_points,maximum_weighted_ff_gap_eta,maximum_weighted_ff_gap_rho,maximum_weighted_ff_gap_holding_ratio,maximum_weighted_ff_gap_blocking_ratio,maximum_weighted_ff_gap_weight,best_weight_counts
eta=0.25,27,27,27,0,0.0,0.0,0.0,0.0,3.9180199243385347,5.844216008716552,0.0,0.0,0.25,0.5,0.5,1.0,5,"{""5"": 27}"
eta=0.5,27,1,1,0,0.001464958863994324,0.0035969538835822026,0.001464958863994324,0.0035969538835822026,3.853319902151982,6.962206292220646,0.0,0.0,0.5,1.0,2.0,50.0,5,"{""5"": 27}"
eta=1,27,0,0,27,0.04738632667505891,0.14738862129137772,0.071660401313257,0.19071742246024895,1.4739780052949216,4.966931873013427,0.024274074638198105,0.05335309739708247,1.0,0.5,2.0,50.0,7/2,"{""5/2"": 18, ""7/2"": 9}"
eta=2,27,0,0,27,0.13349812957805804,0.27902437532087737,0.23994176351992422,0.5599472000805618,0.7813809375080678,1.932216166324135,0.10644363394186615,0.28092282475968433,2.0,0.75,2.0,50.0,7/4,"{""5/2"": 12, ""7/4"": 15}"
