scenario_id,K,B,lambda,rho,mu_vm,mu_container,stage_capacity_ratio,holding_vm,holding_container,blocking_cost,states,full_state_optimal_gain,weighted_ff_gain,weighted_ff_relative_gap,weighted_ff_numerically_optimal,uniform_jsq_gain,uniform_jsq_relative_gap,lexicographic_ff_gain,lexicographic_ff_relative_gap,weighted_ff_improvement_over_uniform_jsq,weighted_ff_improvement_over_lexicographic_ff,uniform_jsq_endpoint_error,lexicographic_ff_endpoint_error,rvi_iterations,rvi_span_residual,bellman_residual,globally_certified_within_class,class_definition,minimum_feeder_weight,minimum_feeder_weight_fraction,best_feeder_weight,best_feeder_weight_fraction,best_candidate_kind,best_gain,critical_weight_count,candidate_weight_count,distinct_policy_count,critical_weights,lexicographic_weight,lexicographic_weight_fraction,lexicographic_gain,jsq_gain,improvement_over_lexicographic,improvement_over_jsq,best_tie_state_count,best_generator_residual,best_poisson_gain_error,best_cost_decomposition_error,check_checked_uniformized_rows,check_minimum_transition_probability,check_maximum_row_sum_error,check_rvi_stationary_gain_error,check_stationary_generator_residual,check_stationary_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
K2_B1_lambda1_rho0p25_muvm2_muc1_hvm1_hc1_cb10,2,1,1.0,0.25,2.0,1.0,1.0,1.0,1.0,10.0,36,2.219855232884372,2.2198552328843726,0.0,True,2.2198552328843726,0.0,2.2198552328843726,0.0,0.0,0.0,0.0,0.0,182,8.899547765395255e-12,7.71832597834532e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,2.2198552328843726,1,3,1,['1'],3.0,3,2.2198552328843726,2.2198552328843726,0.0,0.0,3,1.0408340855860843e-16,3.1530333899354446e-14,4.440892098500626e-16,45,0.0,0.0,1.0382361637084614e-11,7.112366251504909e-17,1.2878587085651816e-14,2.220446049250313e-16,3.3306690738754696e-16,4.440892098500626e-16
K2_B1_lambda2_rho0p5_muvm2_muc1_hvm1_hc1_cb10,2,1,2.0,0.5,2.0,1.0,1.0,1.0,1.0,10.0,36,7.140765227259252,7.1407652272592514,0.0,True,7.1407652272592514,0.0,7.1407652272592514,0.0,0.0,0.0,0.0,0.0,200,9.457323812966933e-12,8.291700659412982e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,7.1407652272592514,1,3,1,['1'],3.0,3,7.1407652272592514,7.1407652272592514,0.0,0.0,3,1.942890293094024e-16,7.016609515630989e-14,0.0,45,0.0,0.0,2.793765219166744e-11,8.326672684688674e-17,4.796163466380676e-14,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16
K2_B1_lambda3_rho0p75_muvm2_muc1_hvm1_hc1_cb10,2,1,3.0,0.75,2.0,1.0,1.0,1.0,1.0,10.0,36,14.45153025652012,14.451530256520126,0.0,True,14.451530256520126,0.0,14.451530256520126,0.0,0.0,0.0,0.0,0.0,196,9.141132295553689e-12,7.9818374132401e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,14.451530256520126,1,3,1,['1'],3.0,3,14.451530256520126,14.451530256520126,0.0,0.0,3,1.3183898417423734e-16,9.059419880941277e-14,1.7763568394002505e-15,45,0.0,1.1102230246251565e-16,4.1319836441289226e-11,1.5265566588595902e-16,4.796163466380676e-14,2.220446049250313e-16,2.220446049250313e-16,1.7763568394002505e-15
K2_B1_lambda4_rho1_muvm2_muc1_hvm1_hc1_cb10,2,1,4.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,36,23.051735956844635,23.051735956844627,0.0,True,23.051735956844627,0.0,23.051735956844627,0.0,0.0,0.0,0.0,0.0,190,8.906653192752856e-12,7.72626407297139e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,23.051735956844627,1,3,1,['1'],3.0,3,23.051735956844627,23.051735956844627,0.0,0.0,3,8.326672684688674e-17,4.618527782440651e-14,3.552713678800501e-15,45,0.0,1.1102230246251565e-16,5.0739856760628754e-11,1.457167719820518e-16,3.907985046680551e-14,4.440892098500626e-16,4.440892098500626e-16,0.0
K2_B1_lambda6_rho1p5_muvm2_muc1_hvm1_hc1_cb10,2,1,6.0,1.5,2.0,1.0,1.0,1.0,1.0,10.0,36,41.80487139575042,41.804871395750425,0.0,True,41.804871395750425,0.0,41.804871395750425,0.0,0.0,0.0,0.0,0.0,191,8.881784197001252e-12,7.700506898800086e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,41.804871395750425,1,3,1,['1'],3.0,3,41.804871395750425,41.804871395750425,0.0,0.0,3,1.6653345369377348e-16,6.394884621840902e-14,7.105427357601002e-15,45,0.0,0.0,6.567546506630606e-11,1.3877787807814457e-16,5.684341886080802e-14,4.440892098500626e-16,0.0,7.105427357601002e-15
K2_B1_lambda1_rho0p25_muvm4_muc1_hvm1_hc1_cb10,2,1,1.0,0.25,4.0,1.0,2.0,1.0,1.0,10.0,36,1.5134932991037584,1.513493299103757,0.0,True,1.513493299103757,0.0,1.513493299103757,0.0,0.0,0.0,0.0,0.0,284,9.166001291305292e-12,8.385042660208342e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,1.513493299103757,1,3,1,['1'],3.0,3,1.513493299103757,1.513493299103757,0.0,0.0,3,3.469446951953614e-16,1.7763568394002505e-14,2.220446049250313e-16,45,0.0,2.220446049250313e-16,1.4532819392343299e-11,1.199127602768968e-16,1.4210854715202004e-14,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16
K2_B1_lambda2_rho0p5_muvm4_muc1_hvm1_hc1_cb10,2,1,2.0,0.5,4.0,1.0,2.0,1.0,1.0,10.0,36,4.717986764831619,4.717986764831617,0.0,True,4.717986764831617,0.0,4.717986764831617,0.0,0.0,0.0,0.0,0.0,314,9.315215265814913e-12,8.582412558411079e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,4.717986764831617,1,3,1,['1'],3.0,3,4.717986764831617,4.717986764831617,0.0,0.0,3,8.673617379884035e-17,2.930988785010413e-14,8.881784197001252e-16,45,0.0,1.1102230246251565e-16,4.005151765795745e-11,9.367506770274758e-17,1.3322676295501878e-14,2.220446049250313e-16,4.440892098500626e-16,0.0
K2_B1_lambda3_rho0p75_muvm4_muc1_hvm1_hc1_cb10,2,1,3.0,0.75,4.0,1.0,2.0,1.0,1.0,10.0,36,10.506010258067093,10.506010258067091,0.0,True,10.506010258067091,0.0,10.506010258067091,0.0,0.0,0.0,0.0,0.0,296,9.972467296393006e-12,9.124367927881849e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,10.506010258067091,1,3,1,['1'],3.0,3,10.506010258067091,10.506010258067091,0.0,0.0,3,1.1102230246251565e-16,3.552713678800501e-14,0.0,45,0.0,0.0,6.980549471791164e-11,1.1102230246251565e-16,3.552713678800501e-14,8.881784197001252e-16,0.0,1.7763568394002505e-15
K2_B1_lambda4_rho1_muvm4_muc1_hvm1_hc1_cb10,2,1,4.0,1.0,4.0,1.0,2.0,1.0,1.0,10.0,36,18.193042928302344,18.193042928302347,0.0,True,18.193042928302347,0.0,18.193042928302347,0.0,0.0,0.0,0.0,0.0,265,9.976020010071807e-12,9.025447056387748e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,18.193042928302347,1,3,1,['1'],3.0,3,18.193042928302347,18.193042928302347,0.0,0.0,3,3.0531133177191805e-16,6.394884621840902e-14,0.0,45,0.0,0.0,9.029221814671473e-11,1.1102230246251565e-16,4.973799150320701e-14,4.440892098500626e-16,4.440892098500626e-16,3.552713678800501e-15
K2_B1_lambda6_rho1p5_muvm4_muc1_hvm1_hc1_cb10,2,1,6.0,1.5,4.0,1.0,2.0,1.0,1.0,10.0,36,36.16670059925246,36.16670059925245,0.0,True,36.16670059925245,0.0,36.16670059925245,0.0,0.0,0.0,0.0,0.0,219,9.038103598868474e-12,7.968736781549524e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,36.16670059925245,1,3,1,['1'],3.0,3,36.16670059925245,36.16670059925245,0.0,0.0,3,1.942890293094024e-16,1.0658141036401503e-13,0.0,45,0.0,1.1102230246251565e-16,1.0577849707260611e-10,1.6653345369377348e-16,7.815970093361102e-14,0.0,4.440892098500626e-16,0.0
